,alpha_c.csv
1,https://www.rxlist.com/ruconest-drug.htm
2,https://www.rxlist.com/haegarda-drug.htm
3,https://www.rxlist.com/ca-dtpa-drug.htm
4,https://www.rxlist.com/jevtana-drug.htm
6,https://www.rxlist.com/dostinex-drug.htm
9,https://www.rxlist.com/vocabria-drug.htm
13,https://www.rxlist.com/caduet-drug.htm
14,https://www.rxlist.com/caelyx-drug.htm
16,https://www.rxlist.com/cafergot-drug.htm
20,https://www.rxlist.com/calan-drug.htm
21,https://www.rxlist.com/calan-sr-drug.htm
22,https://www.rxlist.com/asparlas-drug.htm
23,https://www.rxlist.com/rayaldee-drug.htm
24,https://www.rxlist.com/calciferol-drug.htm
26,https://www.rxlist.com/taclonex-drug.htm
27,https://www.rxlist.com/wynzora-drug.htm
28,https://www.rxlist.com/enstilar-drug.htm
29,https://www.rxlist.com/taclonex-scalp-drug.htm
30,https://www.rxlist.com/dovonex-cream-drug.htm
31,https://www.rxlist.com/sorilux-drug.htm
32,https://www.rxlist.com/dovonex-ointment-drug.htm
33,https://www.rxlist.com/dovonex-scalp-drug.htm
34,https://www.rxlist.com/miacalcin-drug.htm
35,https://www.rxlist.com/fortical-drug.htm
36,https://www.rxlist.com/rocaltrol-drug.htm
37,https://www.rxlist.com/vectical-drug.htm
39,https://www.rxlist.com/phoslyra-drug.htm
40,https://www.rxlist.com/phoslo-drug.htm
41,https://www.rxlist.com/eliphos-drug.htm
44,https://www.rxlist.com/calcium-disodium-versenate-drug.htm
45,https://www.rxlist.com/calcium-gluconate-drug.htm
46,https://www.rxlist.com/radiesse-drug.htm
47,https://www.rxlist.com/xywav-drug.htm
48,https://www.rxlist.com/caldolor-drug.htm
49,https://www.rxlist.com/infasurf-drug.htm
51,https://www.rxlist.com/calquence-drug.htm
52,https://www.rxlist.com/cambia-drug.htm
53,https://www.rxlist.com/campath-drug.htm
54,https://www.rxlist.com/campral-drug.htm
55,https://www.rxlist.com/camptosar-inj-drug.htm
56,https://www.rxlist.com/camrese-drug.htm
57,https://www.rxlist.com/invokamet-xr-drug.htm
58,https://www.rxlist.com/invokamet-drug.htm
59,https://www.rxlist.com/invokana-drug.htm
60,https://www.rxlist.com/ilaris-drug.htm
